"movie_id","movie_name","year","certificate","runtime","rating","director","star","votes","gross(in $)"
"tt9114286","Black Panther: Wakanda Forever","2022","PG-13","161 min","6.9","Ryan Coogler","Letitia Wright#Lupita Nyong'o#Danai Gurira#Winston Duke","204835","-"
"tt1630029","Avatar: The Way of Water","2022","PG-13","192 min","7.8","James Cameron","Sam Worthington#Zoe Saldana#Sigourney Weaver#Stephen Lang","295119","-"
"tt6710474","Everything Everywhere All at Once","2022","R","139 min","8","Dan Kwan#Daniel Scheinert","Michelle Yeoh#Stephanie Hsu#Jamie Lee Curtis#Ke Huy Quan","327858","-"
"tt3915174","Puss in Boots: The Last Wish","2022","PG","102 min","7.9","Joel Crawford#Januel Mercado","Antonio Banderas#Salma Hayek#Harvey Guillén#Florence Pugh","75016","-"
"tt10954600","Ant-Man and the Wasp: Quantumania","2023","PG-13","125 min","6.6","Peyton Reed","Paul Rudd#Evangeline Lilly#Jonathan Majors#Kathryn Newton","5396","-"
"tt2353868","True Spirit","2023","TV-PG","109 min","6.8","Sarah Spillane","Alyla Browne#Teagan Croft#Cliff Curtis#Josh Lawson","3747","-"
"tt12844910","Pathaan","2023","Not Rated","146 min","6.6","Siddharth Anand","Shah Rukh Khan#Deepika Padukone#John Abraham#Dimple Kapadia","120080","-"
"tt14668630","Lyle, Lyle, Crocodile","2022","PG","106 min","6.1","Josh Gordon#Will Speck","Javier Bardem#Winslow Fegley#Shawn Mendes#Constance Wu","8131","-"
"tt1825683","Black Panther","2018","PG-13","134 min","7.3","Ryan Coogler","Chadwick Boseman#Michael B. Jordan#Lupita Nyong'o#Danai Gurira","785813","700059566"
"tt0499549","Avatar","2009","PG-13","162 min","7.9","James Cameron","Sam Worthington#Zoe Saldana#Sigourney Weaver#Michelle Rodriguez","1322694","760507625"
"tt6718170","The Super Mario Bros. Movie","2023","PG","-","-","Aaron Horvath#Michael Jelenic","Chris Pratt#Anya Taylor-Joy#Charlie Day#Jack Black","-","-"
"tt13539646","The Wandering Earth II","2023","-","173 min","8","Frant Gwo","Andy Lau#Zina Blahusova#Jing Wu#Clara Lee","7081","-"
"tt0241527","Harry Potter and the Sorcerer's Stone","2001","PG","152 min","7.6","Chris Columbus","Daniel Radcliffe#Rupert Grint#Richard Harris#Maggie Smith","792448","317575550"
"tt6443346","Black Adam","2022","PG-13","125 min","6.4","Jaume Collet-Serra","Dwayne Johnson#Aldis Hodge#Pierce Brosnan#Noah Centineo","222934","-"
"tt0816692","Interstellar","2014","PG-13","169 min","8.6","Christopher Nolan","Matthew McConaughey#Anne Hathaway#Jessica Chastain#Mackenzie Foy","1859256","188020017"
"tt8041270","Jurassic World: Dominion","2022","PG-13","147 min","5.6","Colin Trevorrow","Chris Pratt#Bryce Dallas Howard#Laura Dern#Sam Neill","171780","-"
"tt1392170","The Hunger Games","2012","PG-13","142 min","7.2","Gary Ross","Jennifer Lawrence#Josh Hutcherson#Liam Hemsworth#Stanley Tucci","927499","408010692"
"tt11138512","The Northman","2022","R","137 min","7.1","Robert Eggers","Alexander Skarsgård#Nicole Kidman#Claes Bang#Ethan Hawke","217036","-"
"tt1160419","Dune","2021","PG-13","155 min","8","Denis Villeneuve","Timothée Chalamet#Rebecca Ferguson#Zendaya#Oscar Isaac","649342","108327830"
"tt0439572","The Flash","2023","-","-","-","Andy Muschietti","Ben Affleck#Michael Shannon#Michael Keaton#Ezra Miller","-","-"
"tt8178634","RRR","2022","Not Rated","187 min","7.9","S.S. Rajamouli","N.T. Rama Rao Jr.#Ram Charan Teja#Ajay Devgn#Alia Bhatt","135454","-"
"tt0120737","The Lord of the Rings: The Fellowship of the Ring","2001","PG-13","178 min","8.8","Peter Jackson","Elijah Wood#Ian McKellen#Orlando Bloom#Sean Bean","1889727","315544750"
"tt10648342","Thor: Love and Thunder","2022","PG-13","118 min","6.3","Taika Waititi","Chris Hemsworth#Natalie Portman#Christian Bale#Tessa Thompson","344327","-"
"tt2906216","Dungeons & Dragons: Honor Among Thieves","2023","-","134 min","-","John Francis Daley#Jonathan Goldstein","Chris Pine#Michelle Rodriguez#Regé-Jean Page#Justice Smith","-","-"
"tt1375666","Inception","2010","PG-13","148 min","8.8","Christopher Nolan","Leonardo DiCaprio#Joseph Gordon-Levitt#Elliot Page#Ken Watanabe","2373682","292576195"
"tt10872600","Spider-Man: No Way Home","2021","PG-13","148 min","8.2","Jon Watts","Tom Holland#Zendaya#Benedict Cumberbatch#Jacob Batalon","770492","804747988"
"tt11210390","Asterix & Obelix: The Middle Kingdom","2023","-","112 min","4.4","Guillaume Canet","Guillaume Canet#Gilles Lellouche#Vincent Cassel#Jonathan Cohen","1376","-"
"tt1462764","Indiana Jones and the Dial of Destiny","2023","-","-","-","James Mangold","Harrison Ford#Mads Mikkelsen#Boyd Holbrook#Antonio Banderas","-","-"
"tt0172495","Gladiator","2000","R","155 min","8.5","Ridley Scott","Russell Crowe#Joaquin Phoenix#Connie Nielsen#Oliver Reed","1512747","187705427"
"tt5971474","The Little Mermaid","2023","PG","-","-","Rob Marshall","Halle Bailey#Jonah Hauer-King#Melissa McCarthy#Javier Bardem","-","-"
"tt4154796","Avengers: Endgame","2019","PG-13","181 min","8.4","Anthony Russo#Joe Russo","Robert Downey Jr.#Chris Evans#Mark Ruffalo#Chris Hemsworth","1148100","858373000"
"tt12261776","65","2023","-","-","-","Scott Beck#Bryan Woods","Adam Driver#Ariana Greenblatt#Chloe Coleman#Nika King","-","-"
"tt10298840","Strange World","2022","PG","102 min","5.6","Don Hall#Qui Nguyen","Jake Gyllenhaal#Jaboukie Young-White#Gabrielle Union#Dennis Quaid","34585","-"
"tt6791350","Guardians of the Galaxy Vol. 3","2023","-","-","-","James Gunn","Chris Pratt#Zoe Saldana#Dave Bautista#Vin Diesel","-","-"
"tt6820256","Arctic","2018","PG-13","98 min","6.8","Joe Penna","Mads Mikkelsen#Maria Thelma Smáradóttir#Tintrinai Thikhasuk","54313","2410795"
"tt0448694","Puss in Boots","2011","PG","90 min","6.6","Chris Miller","Antonio Banderas#Salma Hayek#Zach Galifianakis#Billy Bob Thornton","173008","149260504"
"tt1517268","Barbie","2023","-","-","-","Greta Gerwig","Margot Robbie#Ryan Gosling#Helen Mirren#Will Ferrell","-","-"
"tt0082971","Raiders of the Lost Ark","1981","PG","115 min","8.4","Steven Spielberg","Harrison Ford#Karen Allen#Paul Freeman#John Rhys-Davies","974011","248159971"
"tt5113044","Minions: The Rise of Gru","2022","PG","87 min","6.6","Kyle Balda#Brad Ableson#Jonathan del Val","Steve Carell#Pierre Coffin#Alan Arkin#Taraji P. Henson","68436","-"
"tt0116629","Independence Day","1996","PG-13","145 min","7","Roland Emmerich","Will Smith#Bill Pullman#Jeff Goldblum#Mary McDonnell","580884","306169255"
"tt3291150","The Expendables 4","2023","-","-","-","Scott Waugh","Jason Statham#50 Cent#Megan Fox#Dolph Lundgren","-","-"
