"movie_id","movie_name","year","certificate","runtime","rating","director","star","votes","gross(in $)"
"tt3915174","Puss in Boots: The Last Wish","2022","PG","102 min","7.9","Joel Crawford#Januel Mercado","Antonio Banderas#Salma Hayek#Harvey Guillén#Florence Pugh","93143","168464485"
"tt6718170","The Super Mario Bros. Movie","2023","PG","92 min","-","Aaron Horvath#Michael Jelenic","Chris Pratt#Anya Taylor-Joy#Charlie Day#Jack Black","-","-"
"tt26537229","Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village","2023","R","110 min","6.6","Haruo Sotozaki","Zach Aguilar#Kira Buckland#Griffin Burns#Ray Chase","1316","-"
"tt1488589","Guillermo del Toro's Pinocchio","2022","PG","117 min","7.6","Guillermo del Toro#Mark Gustafson","Ewan McGregor#David Bradley#Gregory Mann#Burn Gorman","86296","-"
"tt14668630","Lyle, Lyle, Crocodile","2022","PG","106 min","6.1","Josh Gordon#Will Speck","Javier Bardem#Winslow Fegley#Shawn Mendes#Constance Wu","9351","46888441"
"tt6105098","The Lion King","2019","PG","118 min","6.8","Jon Favreau","Donald Glover#Beyoncé#Seth Rogen#Chiwetel Ejiofor","250061","543638043"
"tt15339456","Marcel the Shell with Shoes On","2021","PG","90 min","7.7","Dean Fleischer Camp","Jenny Slate#Dean Fleischer Camp#Isabella Rossellini#Joe Gabler","14613","5792525"
"tt2953050","Encanto","2021","PG","102 min","7.2","Jared Bush#Byron Howard#Charise Castro Smith","Stephanie Beatriz#María Cecilia Botero#John Leguizamo#Mauro Castillo","230458","96093622"
"tt6467266","Sing 2","2021","PG","110 min","7.4","Garth Jennings#Christophe Lourdelet","Matthew McConaughey#Reese Witherspoon#Scarlett Johansson#Tori Kelly","72595","162790990"
"tt23177868","Mummies","2023","PG","88 min","6","Juan Jesús García Galocha","Óscar Barberán#Ana Esther Alborg#Luis Pérez Reina#María Luisa Solá","749","-"
"tt0448694","Puss in Boots","2011","PG","90 min","6.6","Chris Miller","Antonio Banderas#Salma Hayek#Zach Galifianakis#Billy Bob Thornton","175648","149260504"
"tt4633694","Spider-Man: Into the Spider-Verse","2018","PG","117 min","8.4","Bob Persichetti#Peter Ramsey#Rodney Rothman","Shameik Moore#Jake Johnson#Hailee Steinfeld#Mahershala Ali","545661","190241310"
"tt0110357","The Lion King","1994","G","88 min","8.5","Roger Allers#Rob Minkoff","Matthew Broderick#Jeremy Irons#James Earl Jones#Whoopi Goldberg","1071452","422783777"
"tt10298840","Strange World","2022","PG","102 min","5.6","Don Hall#Qui Nguyen","Jake Gyllenhaal#Jaboukie Young-White#Gabrielle Union#Dennis Quaid","36176","-"
"tt0317219","Cars","2006","G","117 min","7.2","John Lasseter#Joe Ranft","Owen Wilson#Bonnie Hunt#Paul Newman#Larry the Cable Guy","431722","244082982"
"tt8115900","The Bad Guys","2022","PG","100 min","6.8","Pierre Perifel","Sam Rockwell#Marc Maron#Awkwafina#Craig Robinson","45457","97233630"
"tt0245429","Spirited Away","2001","PG","125 min","8.6","Hayao Miyazaki","Daveigh Chase#Suzanne Pleshette#Miyu Irino#Rumi Hiiragi","776225","10055859"
"tt8097030","Turning Red","2022","PG","100 min","7","Domee Shi","Rosalie Chiang#Sandra Oh#Ava Morse#Hyein Park","129219","-"
