"movie_id","movie_name","year","certificate","runtime","rating","director","star","votes","gross(in $)"
"tt3704428","Elvis","2022","PG-13","159 min","7.3","Baz Luhrmann","Tom Hanks#Austin Butler#Olivia DeJonge#Helen Thomson","189732","151040048"
"tt0993846","The Wolf of Wall Street","2013","R","180 min","8.2","Martin Scorsese","Leonardo DiCaprio#Jonah Hill#Margot Robbie#Matthew McConaughey","1437780","116900694"
"tt0264464","Catch Me If You Can","2002","PG-13","141 min","8.1","Steven Spielberg","Leonardo DiCaprio#Tom Hanks#Christopher Walken#Martin Sheen","1003050","164615351"
"tt12374656","Emily","2022","R","130 min","6.9","Frances O'Connor","Emma Mackey#Oliver Jackson-Cohen#Fionn Whitehead#Alexandra Dowling","3888","-"
"tt15398776","Oppenheimer","2023","-","-","-","Christopher Nolan","Cillian Murphy#Emily Blunt#Matt Damon#Robert Downey Jr.","-","-"
"tt1655389","Blonde","2022","NC-17","167 min","5.5","Andrew Dominik","Ana de Armas#Lily Fisher#Julianne Nicholson#Tygh Runyan","62265","-"
"tt0099685","Goodfellas","1990","R","145 min","8.7","Martin Scorsese","Robert De Niro#Ray Liotta#Joe Pesci#Lorraine Bracco","1175985","46836394"
"tt0108052","Schindler's List","1993","R","195 min","9","Steven Spielberg","Liam Neeson#Ralph Fiennes#Ben Kingsley#Caroline Goodall","1369752","96898818"
"tt0082158","Chariots of Fire","1981","PG","125 min","7.1","Hugh Hudson","Ben Cross#Ian Charleson#Nicholas Farrell#Nigel Havers","62532","58972904"
"tt2119532","Hacksaw Ridge","2016","R","139 min","8.1","Mel Gibson","Andrew Garfield#Sam Worthington#Luke Bracey#Teresa Palmer","538844","67209615"
"tt6966692","Green Book","2018","PG-13","130 min","8.2","Peter Farrelly","Viggo Mortensen#Mahershala Ali#Linda Cardellini#Sebastian Maniscalco","506000","85080171"
"tt12193804","Whitney Houston: I Wanna Dance with Somebody","2022","PG-13","144 min","6.7","Kasi Lemmons","Naomi Ackie#Stanley Tucci#Ashton Sanders#Tamara Tunie","11152","-"
"tt4846340","Hidden Figures","2016","PG","127 min","7.8","Theodore Melfi","Taraji P. Henson#Octavia Spencer#Janelle Monáe#Kevin Costner","236635","169607287"
"tt17076046","Weird: The Al Yankovic Story","2022","TV-14","108 min","7","Eric Appel","Diedrich Bader#Daniel Radcliffe#Lin-Manuel Miranda#Richard Aaron Anderson","26532","-"
"tt2353868","True Spirit","2023","TV-PG","109 min","6.8","Sarah Spillane","Alyla Browne#Teagan Croft#Cliff Curtis#Josh Lawson","5423","-"
"tt4273800","The Good Nurse","2022","R","121 min","6.8","Tobias Lindholm","Eddie Redmayne#Jessica Chastain#Denise Pillott#Dartel McRae","63755","-"
"tt1485796","The Greatest Showman","2017","PG","105 min","7.5","Michael Gracey","Hugh Jackman#Michelle Williams#Zac Efron#Zendaya","288430","174340174"
"tt3263904","Sully","2016","PG-13","96 min","7.4","Clint Eastwood","Tom Hanks#Aaron Eckhart#Laura Linney#Valerie Mahaffey","278841","125070033"
"tt1950186","Ford v Ferrari","2019","PG-13","152 min","8.1","James Mangold","Matt Damon#Christian Bale#Jon Bernthal#Caitríona Balfe","406637","117624028"
"tt1302006","The Irishman","2019","R","209 min","7.8","Martin Scorsese","Robert De Niro#Al Pacino#Joe Pesci#Harvey Keitel","397173","7000000"
"tt0112573","Braveheart","1995","R","178 min","8.4","Mel Gibson","Mel Gibson#Sophie Marceau#Patrick McGoohan#Angus Macfadyen","1046887","75600000"
"tt0108358","Tombstone","1993","R","130 min","7.8","George P. Cosmatos#Kevin Jarre","Kurt Russell#Val Kilmer#Sam Elliott#Bill Paxton","153384","56505065"
"tt0195685","Erin Brockovich","2000","R","131 min","7.4","Steven Soderbergh","Julia Roberts#Albert Finney#David Brisbin#Dawn Didawick","203401","125595205"
"tt15301048","Argentina, 1985","2022","R","140 min","7.6","Santiago Mitre","Ricardo Darín#Gina Mastronicola#Francisco Bertín#Santiago Armas Estevarena","21752","-"
"tt1285016","The Social Network","2010","PG-13","120 min","7.8","David Fincher","Jesse Eisenberg#Andrew Garfield#Justin Timberlake#Rooney Mara","714684","96962694"
"tt1596363","The Big Short","2015","R","130 min","7.8","Adam McKay","Christian Bale#Steve Carell#Ryan Gosling#Brad Pitt","440449","70259870"
"tt5208252","Operation Finale","2018","PG-13","122 min","6.6","Chris Weitz","Oscar Isaac#Ben Kingsley#Mélanie Laurent#Lior Raz","44314","17612099"
"tt8503618","Hamilton","2020","PG-13","160 min","8.4","Thomas Kail","Lin-Manuel Miranda#Phillipa Soo#Leslie Odom Jr.#Renée Elise Goldsberry","98525","-"
"tt7984766","The King","2019","R","140 min","7.3","David Michôd","Tom Glynn-Carney#Gábor Czap#Tom Fisher#Edward Ashley","135321","-"
"tt1675434","The Intouchables","2011","R","112 min","8.5","Olivier Nakache#Éric Toledano","François Cluzet#Omar Sy#Anne Le Ny#Audrey Fleurot","870382","13182281"
"tt0253474","The Pianist","2002","R","150 min","8.5","Roman Polanski","Adrien Brody#Thomas Kretschmann#Frank Finlay#Emilia Fox","843819","32572577"
