"movie_id","movie_name","year","certificate","runtime","rating","director","star","votes","gross(in $)"
"tt3915174","Puss in Boots: The Last Wish","2022","PG","102 min","7.9","Joel Crawford#Januel Mercado","Antonio Banderas#Salma Hayek#Harvey Guillén#Florence Pugh","75016","-"
"tt2353868","True Spirit","2023","TV-PG","109 min","6.8","Sarah Spillane","Alyla Browne#Teagan Croft#Cliff Curtis#Josh Lawson","3747","-"
"tt14668630","Lyle, Lyle, Crocodile","2022","PG","106 min","6.1","Josh Gordon#Will Speck","Javier Bardem#Winslow Fegley#Shawn Mendes#Constance Wu","8131","-"
"tt6718170","The Super Mario Bros. Movie","2023","PG","-","-","Aaron Horvath#Michael Jelenic","Chris Pratt#Anya Taylor-Joy#Charlie Day#Jack Black","-","-"
"tt0241527","Harry Potter and the Sorcerer's Stone","2001","PG","152 min","7.6","Chris Columbus","Daniel Radcliffe#Rupert Grint#Richard Harris#Maggie Smith","792448","317575550"
"tt1488589","Guillermo del Toro's Pinocchio","2022","PG","117 min","7.6","Guillermo del Toro#Mark Gustafson","Ewan McGregor#David Bradley#Gregory Mann#Burn Gorman","80804","-"
"tt11210390","Asterix & Obelix: The Middle Kingdom","2023","-","112 min","4.4","Guillaume Canet","Guillaume Canet#Gilles Lellouche#Vincent Cassel#Jonathan Cohen","1376","-"
"tt5971474","The Little Mermaid","2023","PG","-","-","Rob Marshall","Halle Bailey#Jonah Hauer-King#Melissa McCarthy#Javier Bardem","-","-"
"tt10298840","Strange World","2022","PG","102 min","5.6","Don Hall#Qui Nguyen","Jake Gyllenhaal#Jaboukie Young-White#Gabrielle Union#Dennis Quaid","34585","-"
"tt3447590","Roald Dahl's Matilda the Musical","2022","PG","117 min","7.1","Matthew Warchus","Alisha Weir#Emma Thompson#Lashana Lynch#Stephen Graham","19624","-"
"tt0448694","Puss in Boots","2011","PG","90 min","6.6","Chris Miller","Antonio Banderas#Salma Hayek#Zach Galifianakis#Billy Bob Thornton","173008","149260504"
"tt5113044","Minions: The Rise of Gru","2022","PG","87 min","6.6","Kyle Balda#Brad Ableson#Jonathan del Val","Steve Carell#Pierre Coffin#Alan Arkin#Taraji P. Henson","68436","-"
"tt10473036","The Amazing Maurice","2022","PG","93 min","6.3","Toby Genkel#Florian Westermann","Hugh Laurie#Emilia Clarke#David Thewlis#Himesh Patel","2266","-"
"tt2953050","Encanto","2021","PG","102 min","7.2","Jared Bush#Byron Howard#Charise Castro Smith","Stephanie Beatriz#María Cecilia Botero#John Leguizamo#Mauro Castillo","228597","96093622"
"tt0330373","Harry Potter and the Goblet of Fire","2005","PG-13","157 min","7.7","Mike Newell","Daniel Radcliffe#Emma Watson#Rupert Grint#Eric Sykes","636066","290013036"
"tt0089218","The Goonies","1985","PG","114 min","7.7","Richard Donner","Sean Astin#Josh Brolin#Jeff Cohen#Corey Feldman","279416","61503218"
"tt6467266","Sing 2","2021","PG","110 min","7.4","Garth Jennings#Christophe Lourdelet","Matthew McConaughey#Reese Witherspoon#Scarlett Johansson#Tori Kelly","71872","162790990"
"tt1201607","Harry Potter and the Deathly Hallows: Part 2","2011","PG-13","130 min","8.1","David Yates","Daniel Radcliffe#Emma Watson#Rupert Grint#Michael Gambon","885463","381011219"
"tt0117008","Matilda","1996","PG","102 min","7","Danny DeVito","Danny DeVito#Rhea Perlman#Mara Wilson#Embeth Davidtz","159846","33084249"
"tt0093779","The Princess Bride","1987","PG","98 min","8","Rob Reiner","Cary Elwes#Mandy Patinkin#Robin Wright#Chris Sarandon","431599","30857814"
"tt6166392","Wonka","2023","-","-","-","Paul King","Timothée Chalamet#Olivia Colman#Colin O'Brien#Sally Hawkins","-","-"
"tt0304141","Harry Potter and the Prisoner of Azkaban","2004","PG","142 min","7.9","Alfonso Cuarón","Daniel Radcliffe#Emma Watson#Rupert Grint#Richard Griffiths","644151","249358727"
"tt4123432","Fantastic Beasts: The Secrets of Dumbledore","2022","PG-13","142 min","6.2","David Yates","Eddie Redmayne#Jude Law#Ezra Miller#Dan Fogler","146293","-"
"tt0295297","Harry Potter and the Chamber of Secrets","2002","PG","161 min","7.4","Chris Columbus","Daniel Radcliffe#Rupert Grint#Emma Watson#Richard Harris","645233","261988482"
"tt8115900","The Bad Guys","2022","PG","100 min","6.8","Pierre Perifel","Sam Rockwell#Marc Maron#Awkwafina#Craig Robinson","44425","-"
"tt9288046","The Sea Beast","2022","PG","115 min","7.1","Chris Williams","Karl Urban#Zaris-Angel Hator#Jared Harris#Marianne Jean-Baptiste","46294","-"
"tt0245429","Spirited Away","2001","PG","125 min","8.6","Hayao Miyazaki","Daveigh Chase#Suzanne Pleshette#Miyu Irino#Rumi Hiiragi","772809","10055859"
"tt9362722","Spider-Man: Across the Spider-Verse","2023","-","-","-","Joaquim Dos Santos#Kemp Powers#Justin K. Thompson","Shameik Moore#Hailee Steinfeld#Oscar Isaac#Jake Johnson","-","-"
"tt4633694","Spider-Man: Into the Spider-Verse","2018","PG","117 min","8.4","Bob Persichetti#Peter Ramsey#Rodney Rothman","Shameik Moore#Jake Johnson#Hailee Steinfeld#Mahershala Ali","541462","190241310"
"tt0085334","A Christmas Story","1983","PG","93 min","7.9","Bob Clark","Peter Billingsley#Melinda Dillon#Darren McGavin#Scott Schwartz","160197","20605209"
"tt0373889","Harry Potter and the Order of the Phoenix","2007","PG-13","138 min","7.5","David Yates","Daniel Radcliffe#Emma Watson#Rupert Grint#Brendan Gleeson","590824","292004738"
