"movie_id","movie_name","year","certificate","runtime","rating","director","star","votes","gross(in $)"
"tt0043014","Sunset Blvd.","1950","-","110 min","8.4","Billy Wilder","William Holden#Gloria Swanson#Erich von Stroheim#Nancy Olson","224111","-"
"tt0045877","The Hitch-Hiker","1953","-","71 min","6.9","Ida Lupino","Edmond O'Brien#Frank Lovejoy#William Talman#José Torvay","9474","-"
"tt0032976","Rebecca","1940","-","130 min","8.1","Alfred Hitchcock","Laurence Olivier#Joan Fontaine#George Sanders#Judith Anderson","138938","4360000"
"tt0033870","The Maltese Falcon","1941","-","100 min","8","John Huston","Humphrey Bogart#Mary Astor#Gladys George#Peter Lorre","160669","2108060"
"tt0036809","The Falcon Out West","1944","-","64 min","6.1","William Clemens","Tom Conway#Carole Gallagher#Barbara Hale#Joan Barclay","687","-"
"tt0048424","The Night of the Hunter","1955","A","92 min","8","Charles Laughton","Robert Mitchum#Shelley Winters#Lillian Gish#James Gleason","91172","654000"
"tt0039926","The Two Mrs. Carrolls","1947","-","99 min","6.8","Peter Godfrey","Humphrey Bogart#Barbara Stanwyck#Alexis Smith#Nigel Bruce","4538","-"
"tt0036775","Double Indemnity","1944","-","107 min","8.3","Billy Wilder","Fred MacMurray#Barbara Stanwyck#Edward G. Robinson#Byron Barr","158953","5720000"
"tt0041959","The Third Man","1949","U","104 min","8.1","Carol Reed","Orson Welles#Joseph Cotten#Alida Valli#Trevor Howard","173375","449191"
"tt0038355","The Big Sleep","1946","-","114 min","7.9","Howard Hawks","Humphrey Bogart#Lauren Bacall#John Ridgely#Martha Vickers","87046","6540000"
"tt0037611","Conflict","1945","-","86 min","7.1","Curtis Bernhardt","Humphrey Bogart#Alexis Smith#Sydney Greenstreet#Rose Hobart","4206","-"
"tt0037382","To Have and Have Not","1944","PG","100 min","7.8","Howard Hawks","Humphrey Bogart#Lauren Bacall#Walter Brennan#Dolores Moran","35754","-"
"tt0038787","Notorious","1946","U","102 min","7.9","Alfred Hitchcock","Cary Grant#Ingrid Bergman#Claude Rains#Louis Calhern","102645","10464000"
"tt0052311","Touch of Evil","1958","PG-13","95 min","8","Orson Welles","Charlton Heston#Orson Welles#Janet Leigh#Joseph Calleia","105973","2237659"
"tt0037691","Fallen Angel","1945","-","98 min","7","Otto Preminger","Alice Faye#Dana Andrews#Linda Darnell#Charles Bickford","5971","-"
"tt0049406","The Killing","1956","-","84 min","8","Stanley Kubrick","Sterling Hayden#Coleen Gray#Vince Edwards#Jay C. Flippen","91399","-"
"tt0044079","Strangers on a Train","1951","A","101 min","7.9","Alfred Hitchcock","Farley Granger#Robert Walker#Ruth Roman#Leo G. Carroll","135584","7630000"
"tt0046935","Drive a Crooked Road","1954","-","83 min","6.9","Richard Quine","Mickey Rooney#Dianne Foster#Kevin McCarthy#Jack Kelly","1855","-"
"tt0023427","Scarface","1932","-","93 min","7.7","Howard Hawks#Richard Rosson","Paul Muni#Ann Dvorak#Karen Morley#Osgood Perkins","28694","-"
"tt0036342","Shadow of a Doubt","1943","-","108 min","7.8","Alfred Hitchcock","Teresa Wright#Joseph Cotten#Macdonald Carey#Henry Travers","66820","-"
"tt0038109","Spellbound","1945","-","111 min","7.5","Alfred Hitchcock","Ingrid Bergman#Gregory Peck#Michael Chekhov#Leo G. Carroll","49618","7000000"
"tt0038669","The Killers","1946","-","103 min","7.7","Robert Siodmak","Burt Lancaster#Ava Gardner#Edmond O'Brien#Albert Dekker","22073","-"
