"movie_id","movie_name","year","certificate","runtime","rating","director","star","votes","gross(in $)"
"tt10640346","Babylon","2022","R","189 min","7.4","Damien Chazelle","Brad Pitt#Margot Robbie#Jean Smart#Olivia Wilde","66051","-"
"tt10304142","Amsterdam","2022","R","134 min","6.1","David O. Russell","Christian Bale#Margot Robbie#John David Washington#Alessandro Nivola","65277","-"
"tt11138512","The Northman","2022","R","137 min","7.1","Robert Eggers","Alexander Skarsgård#Nicole Kidman#Claes Bang#Ethan Hawke","217036","-"
"tt9737876","Narvik: Hitler's First Defeat","2022","TV-14","108 min","6.6","Erik Skjoldbjærg","Billy Campbell#Kristine Hartgen#Stig Henrik Hoff#Henrik Mestad","9051","-"
"tt8093700","The Woman King","2022","PG-13","135 min","6.7","Gina Prince-Bythewood","Viola Davis#Thuso Mbedu#Lashana Lynch#Sheila Atim","48483","-"
"tt15398776","Oppenheimer","2023","-","-","-","Christopher Nolan","Cillian Murphy#Emily Blunt#Matt Damon#Robert Downey Jr.","-","-"
"tt5537002","Killers of the Flower Moon","-","-","-","-","Martin Scorsese","Leonardo DiCaprio#Robert De Niro#Lily Gladstone#Jesse Plemons","-","-"
"tt0108052","Schindler's List","1993","R","195 min","9","Steven Spielberg","Liam Neeson#Ralph Fiennes#Ben Kingsley#Caroline Goodall","1365712","96898818"
"tt14807308","She Said","2022","R","129 min","7.2","Maria Schrader","Lola Petticrew#Katherine Laheen#Zoe Kazan#Carey Mulligan","20809","-"
"tt5013056","Dunkirk","2017","PG-13","106 min","7.8","Christopher Nolan","Fionn Whitehead#Barry Keoghan#Mark Rylance#Tom Hardy","669727","188373161"
"tt4846340","Hidden Figures","2016","PG","127 min","7.8","Theodore Melfi","Taraji P. Henson#Octavia Spencer#Janelle Monáe#Kevin Costner","235196","169607287"
"tt4960748","Till","2022","PG-13","130 min","7.2","Chinonye Chukwu","Danielle Deadwyler#Jalyn Hall#Frankie Faison#Haley Bennett","7827","-"
"tt13131232","Mission Majnu","2023","TV-MA","129 min","7.6","Shantanu Bagchi","Sidharth Malhotra#Rashmika Mandanna#Parmeet Sethi#Zakir Hussain","38631","-"
"tt2119532","Hacksaw Ridge","2016","R","139 min","8.1","Mel Gibson","Andrew Garfield#Sam Worthington#Luke Bracey#Teresa Palmer","535776","67209615"
"tt8883486","Medieval","2022","R","125 min","5.9","Petr Jákl","Ben Foster#Sophie Lowe#Michael Caine#Til Schweiger","8759","-"
"tt1596363","The Big Short","2015","R","130 min","7.8","Adam McKay","Christian Bale#Steve Carell#Ryan Gosling#Brad Pitt","438736","70259870"
"tt0112573","Braveheart","1995","R","178 min","8.4","Mel Gibson","Mel Gibson#Sophie Marceau#Patrick McGoohan#Angus Macfadyen","1044563","75600000"
"tt15301048","Argentina, 1985","2022","R","140 min","7.6","Santiago Mitre","Ricardo Darín#Gina Mastronicola#Francisco Bertín#Santiago Armas Estevarena","19173","-"
"tt0108358","Tombstone","1993","R","130 min","7.8","George P. Cosmatos#Kevin Jarre","Kurt Russell#Val Kilmer#Sam Elliott#Bill Paxton","152781","56505065"
"tt4244994","The Last Duel","2021","R","152 min","7.4","Ridley Scott","Matt Damon#Adam Driver#Jodie Comer#Harriet Walter","160481","-"
"tt8503618","Hamilton","2020","PG-13","160 min","8.4","Thomas Kail","Lin-Manuel Miranda#Phillipa Soo#Leslie Odom Jr.#Renée Elise Goldsberry","97742","-"
"tt21867434","BlackBerry","2023","-","122 min","-","Matt Johnson","Jay Baruchel#Glenn Howerton#Matt Johnson#Cary Elwes","-","-"
"tt7984766","The King","2019","R","140 min","7.3","David Michôd","Tom Glynn-Carney#Gábor Czap#Tom Fisher#Edward Ashley","134316","-"
"tt0320661","Kingdom of Heaven","2005","R","144 min","7.2","Ridley Scott","Orlando Bloom#Eva Green#Liam Neeson#Martin Hancock","293295","47398413"
"tt0080491","Caligula","1979","Unrated","156 min","5.3","Tinto Brass","Malcolm McDowell#Peter O'Toole#Helen Mirren#Teresa Ann Savoy","36533","23438120"
"tt0102138","JFK","1991","R","189 min","8","Oliver Stone","Kevin Costner#Gary Oldman#Jack Lemmon#Walter Matthau","159559","70405498"
"tt0082517","History of the World: Part I","1981","R","92 min","6.8","Mel Brooks","Mel Brooks#Gregory Hines#Dom DeLuise#Madeline Kahn","50882","31672907"
"tt0265086","Black Hawk Down","2001","R","144 min","7.7","Ridley Scott","Josh Hartnett#Ewan McGregor#Tom Sizemore#Eric Bana","401720","108638745"
"tt0104797","Malcolm X","1992","PG-13","202 min","7.7","Spike Lee","Denzel Washington#Angela Bassett#Delroy Lindo#Spike Lee","96665","48169908"
"tt2024544","12 Years a Slave","2013","R","134 min","8.1","Steve McQueen","Chiwetel Ejiofor#Michael Kenneth Williams#Michael Fassbender#Brad Pitt","707268","56671993"
"tt11992694","Corsage","2022","-","114 min","6.7","Marie Kreutzer","Vicky Krieps#Colin Morgan#Florian Teichtmeister#Finnegan Oldfield","5469","-"
"tt1649419","The Impossible","2012","PG-13","114 min","7.5","J.A. Bayona","Naomi Watts#Ewan McGregor#Tom Holland#Oaklee Pendergast","227736","19019882"
"tt0053946","Inherit the Wind","1960","Passed","128 min","8.1","Stanley Kramer","Spencer Tracy#Fredric March#Gene Kelly#Dick York","30984","-"
"tt0213149","Pearl Harbor","2001","PG-13","183 min","6.2","Michael Bay","Ben Affleck#Kate Beckinsale#Josh Hartnett#William Lee Scott","337171","198542554"
"tt4172430","13 Hours","2016","R","144 min","7.3","Michael Bay","John Krasinski#Pablo Schreiber#James Badge Dale#David Denman","147124","52853219"
"tt5083738","The Favourite","2018","R","119 min","7.5","Yorgos Lanthimos","Olivia Colman#Emma Stone#Rachel Weisz#Nicholas Hoult","204520","34366783"
"tt1790885","Zero Dark Thirty","2012","R","157 min","7.4","Kathryn Bigelow","Jessica Chastain#Joel Edgerton#Chris Pratt#Mark Strong","305795","95720716"
"tt0478087","21","2008","PG-13","123 min","6.8","Robert Luketic","Jim Sturgess#Kate Bosworth#Kevin Spacey#Aaron Yoo","255868","81159365"
"tt0363163","Downfall","2004","R","156 min","8.2","Oliver Hirschbiegel","Bruno Ganz#Alexandra Maria Lara#Ulrich Matthes#Juliane Köhler","358744","5509040"
"tt0443680","The Assassination of Jesse James by the Coward Robert Ford","2007","R","160 min","7.5","Andrew Dominik","Brad Pitt#Casey Affleck#Sam Shepard#Mary-Louise Parker","184895","3904982"
"tt0120863","The Thin Red Line","1998","R","170 min","7.6","Terrence Malick","Jim Caviezel#Sean Penn#Nick Nolte#Kirk Acevedo","190532","36400491"
"tt1213641","First Man","2018","PG-13","141 min","7.3","Damien Chazelle","Ryan Gosling#Claire Foy#Jason Clarke#Kyle Chandler","191619","44936545"
"tt6048922","Greyhound","2020","PG-13","91 min","7","Aaron Schneider","Tom Hanks#Elisabeth Shue#Stephen Graham#Matt Helm","100356","-"
"tt6294822","The Post","2017","PG-13","116 min","7.2","Steven Spielberg","Meryl Streep#Tom Hanks#Sarah Paulson#Bob Odenkirk","154096","81903458"
"tt13287846","Napoleon","-","-","-","-","Ridley Scott","Vanessa Kirby#Joaquin Phoenix#Ludivine Sagnier#Ben Miles","-","-"
"tt9784798","Judas and the Black Messiah","2021","R","126 min","7.4","Shaka King","LaKeith Stanfield#Daniel Kaluuya#Jesse Plemons#Dominique Fishback","82906","-"
"tt1504320","The King's Speech","2010","R","118 min","8","Tom Hooper","Colin Firth#Geoffrey Rush#Helena Bonham Carter#Derek Jacobi","685771","138797449"
"tt6924650","Midway","2019","PG-13","138 min","6.7","Roland Emmerich","Ed Skrein#Patrick Wilson#Woody Harrelson#Luke Evans","87889","56846802"
"tt7598076","Curiosa","2019","-","107 min","5.4","Lou Jeunet","Noémie Merlant#Niels Schneider#Benjamin Lavernhe#Camélia Jordana","2638","-"
"tt1023114","The Way Back","2010","PG-13","133 min","7.3","Peter Weir","Jim Sturgess#Ed Harris#Colin Farrell#Dragos Bucur","118289","2701859"
"tt0187393","The Patriot","2000","R","165 min","7.2","Roland Emmerich","Mel Gibson#Heath Ledger#Joely Richardson#Jason Isaacs","279444","113330342"
"tt0955308","Robin Hood","2010","PG-13","140 min","6.6","Ridley Scott","Russell Crowe#Cate Blanchett#Matthew Macfadyen#Max von Sydow","272839","105269730"
"tt6823148","Benedetta","2021","Unrated","131 min","6.7","Paul Verhoeven","Virginie Efira#Charlotte Rampling#Daphne Patakia#Lambert Wilson","20960","-"
"tt3682448","Bridge of Spies","2015","PG-13","142 min","7.6","Steven Spielberg","Tom Hanks#Mark Rylance#Alan Alda#Amy Ryan","314994","72313754"
"tt0112384","Apollo 13","1995","PG","140 min","7.7","Ron Howard","Tom Hanks#Bill Paxton#Kevin Bacon#Gary Sinise","299665","173837933"
"tt0443272","Lincoln","2012","PG-13","150 min","7.3","Steven Spielberg","Daniel Day-Lewis#Sally Field#David Strathairn#Joseph Gordon-Levitt","263404","182207973"
"tt0057115","The Great Escape","1963","Approved","172 min","8.2","John Sturges","Steve McQueen#James Garner#Richard Attenborough#Charles Bronson","246944","12100000"
"tt6679794","Outlaw King","2018","R","121 min","6.9","David Mackenzie","Chris Pine#Stephen Dillane#Rebecca Robin#Billy Howle","74505","-"
"tt4648786","Harriet","2019","PG-13","125 min","6.7","Kasi Lemmons","Cynthia Erivo#Janelle Monáe#Leslie Odom Jr.#Joe Alwyn","28042","-"
"tt2328900","Mary Queen of Scots","2018","R","124 min","6.3","Josie Rourke","Saoirse Ronan#Margot Robbie#Jack Lowden#Joe Alwyn","51969","16468499"
"tt1034303","Defiance","2008","R","137 min","7.1","Edward Zwick","Daniel Craig#Liev Schreiber#Jamie Bell#Alexa Davalos","150566","28644813"
"tt0346491","Alexander","2004","R","175 min","5.6","Oliver Stone","Colin Farrell#Anthony Hopkins#Rosario Dawson#Angelina Jolie","171762","34297191"
"tt1860357","Deepwater Horizon","2016","PG-13","107 min","7.1","Peter Berg","Mark Wahlberg#Kurt Russell#Douglas M. Griffin#James DuMont","172130","61433527"
"tt1413492","12 Strong","2018","R","130 min","6.5","Nicolai Fuglsig","Chris Hemsworth#Michael Shannon#Michael Peña#Navid Negahban","84262","45819713"
"tt8368512","The Courier","2020","PG-13","112 min","7.2","Dominic Cooke","Benedict Cumberbatch#Merab Ninidze#Rachel Brosnahan#Vladimir Chuprikov","64354","-"
"tt0408306","Munich","2005","R","164 min","7.5","Steven Spielberg","Eric Bana#Daniel Craig#Marie-Josée Croze#Ciarán Hinds","230069","47403685"
"tt0490215","Silence","2016","R","161 min","7.1","Martin Scorsese","Andrew Garfield#Adam Driver#Liam Neeson#Tadanobu Asano","115156","7100177"
"tt1398426","Straight Outta Compton","2015","R","147 min","7.8","F. Gary Gray","O'Shea Jackson Jr.#Corey Hawkins#Jason Mitchell#Neil Brown Jr.","205808","161197785"
