"movie_id","movie_name","year","certificate","runtime","rating","director","star","votes","gross(in $)"
"tt15679400","Knock at the Cabin","2023","R","100 min","6.4","M. Night Shyamalan","Dave Bautista#Jonathan Groff#Rupert Grint#Nikki Amuka-Bird","17991","-"
"tt5433140","Fast X","2023","-","-","-","Louis Leterrier","Vin Diesel#Jordana Brewster#Tyrese Gibson#Michelle Rodriguez","-","-"
"tt3915174","Puss in Boots: The Last Wish","2022","PG","102 min","7.9","Joel Crawford#Januel Mercado","Antonio Banderas#Salma Hayek#Harvey Guillén#Florence Pugh","75016","-"
"tt10954600","Ant-Man and the Wasp: Quantumania","2023","PG-13","125 min","6.6","Peyton Reed","Paul Rudd#Evangeline Lilly#Jonathan Majors#Kathryn Newton","5396","-"
"tt11564570","Glass Onion","2022","PG-13","139 min","7.2","Rian Johnson","Daniel Craig#Edward Norton#Kate Hudson#Dave Bautista","333315","-"
"tt10365998","Infinity Pool","2023","R","117 min","6.5","Brandon Cronenberg","Alexander Skarsgård#Mia Goth#Cleopatra Coleman#Dunja Sepcic","6955","-"
"tt17663992","Scream VI","2023","-","123 min","-","Matt Bettinelli-Olpin#Tyler Gillett","Melissa Barrera#Courteney Cox#Jenna Ortega#Jasmin Savoy Brown","-","-"
"tt14138650","The Pale Blue Eye","2022","R","128 min","6.6","Scott Cooper","Christian Bale#Harry Melling#Simon McBurney#Timothy Spall","85087","-"
"tt13560574","X","2022","R","105 min","6.6","Ti West","Mia Goth#Jenna Ortega#Brittany Snow#Kid Cudi","113560","-"
"tt10304142","Amsterdam","2022","R","134 min","6.1","David O. Russell","Christian Bale#Margot Robbie#John David Washington#Alessandro Nivola","65277","-"
"tt9411972","Where the Crawdads Sing","2022","PG-13","125 min","7.2","Olivia Newman","Daisy Edgar-Jones#Taylor John Smith#Harris Dickinson#David Strathairn","81563","-"
"tt8946378","Knives Out","2019","PG-13","130 min","7.9","Rian Johnson","Daniel Craig#Chris Evans#Ana de Armas#Jamie Lee Curtis","705622","165359751"
"tt15791034","Barbarian","2022","R","102 min","7","Zach Cregger","Georgina Campbell#Bill Skarsgård#Justin Long#Matthew Patrick Davis","131276","-"
"tt11976532","Vengeance","2022","R","107 min","6.8","B.J. Novak","B.J. Novak#Boyd Holbrook#Lio Tipton#Ashton Kutcher","23193","-"
"tt15474916","Smile","2022","R","115 min","6.6","Parker Finn","Sosie Bacon#Jessie T. Usher#Kyle Gallner#Robin Weigert","103422","-"
"tt10954984","Nope","2022","R","130 min","6.9","Jordan Peele","Daniel Kaluuya#Keke Palmer#Brandon Perea#Michael Wincott","200040","-"
"tt14121726","Jeepers Creepers: Reborn","2022","R","88 min","2.5","Timo Vuorensola","Sydney Craven#Imran Adams#Jarreau Benjamin#Peter Brooke","9806","-"
"tt11245972","Scream","2022","R","114 min","6.3","Matt Bettinelli-Olpin#Tyler Gillett","Melissa Barrera#Neve Campbell#Courteney Cox#David Arquette","119827","-"
"tt15829724","The Locksmith","2023","-","92 min","4.6","Nicolas Harvard","Kate Bosworth#Ryan Phillippe#Jeffrey Nordling#Ving Rhames","577","-"
"tt10954652","Old","2021","PG-13","108 min","5.8","M. Night Shyamalan","Gael García Bernal#Vicky Krieps#Rufus Sewell#Alex Wolff","125475","-"
"tt8772262","Midsommar","2019","R","148 min","7.1","Ari Aster","Florence Pugh#Jack Reynor#Vilhelm Blomgren#William Jackson Harper","335439","27331977"
"tt12477480","Decision to Leave","2022","-","139 min","7.3","Park Chan-wook","Park Hae-il#Tang Wei#Lee Jung-hyun#Go Kyung-Pyo","33015","-"
"tt3427252","The Boogeyman","2023","PG-13","-","-","Rob Savage","Chris Messina#Sophie Thatcher#David Dastmalchian#Marin Ireland","-","-"
"tt5537002","Killers of the Flower Moon","-","-","-","-","Martin Scorsese","Leonardo DiCaprio#Robert De Niro#Lily Gladstone#Jesse Plemons","-","-"
"tt3155298","Luther: The Fallen Sun","2023","R","129 min","-","Jamie Payne","Idris Elba#Cynthia Erivo#Andy Serkis#Dermot Crowley","-","-"
"tt1856101","Blade Runner 2049","2017","R","164 min","8","Denis Villeneuve","Harrison Ford#Ryan Gosling#Ana de Armas#Dave Bautista","586274","92054159"
"tt7784604","Hereditary","2018","R","127 min","7.3","Ari Aster","Toni Collette#Milly Shapiro#Gabriel Byrne#Alex Wolff","328830","44069456"
"tt6160448","White Noise","2022","R","136 min","5.7","Noah Baumbach","Adam Driver#Greta Gerwig#Don Cheadle#Madison Gaughan","32451","-"
"tt10242388","Last Seen Alive","2022","R","95 min","5.6","Brian Goodman","Gerard Butler#Jaimie Alexander#Russell Hornsby#Ethan Embry","22233","-"
"tt1392214","Prisoners","2013","R","153 min","8.1","Denis Villeneuve","Hugh Jackman#Jake Gyllenhaal#Viola Davis#Melissa Leo","728343","61002302"
"tt0448694","Puss in Boots","2011","PG","90 min","6.6","Chris Miller","Antonio Banderas#Salma Hayek#Zach Galifianakis#Billy Bob Thornton","173008","149260504"
"tt1130884","Shutter Island","2010","R","138 min","8.2","Martin Scorsese","Leonardo DiCaprio#Emily Mortimer#Mark Ruffalo#Ben Kingsley","1332201","128012934"
"tt7657566","Death on the Nile","2022","PG-13","127 min","6.3","Kenneth Branagh","Tom Bateman#Annette Bening#Kenneth Branagh#Russell Brand","155351","-"
"tt0114369","Se7en","1995","R","127 min","8.6","David Fincher","Morgan Freeman#Brad Pitt#Kevin Spacey#Andrew Kevin Walker","1668095","100125643"
"tt4595186","Luckiest Girl Alive","2022","R","113 min","6.4","Mike Barker","Mila Kunis#Chiara Aurelia#Finn Wittrock#Connie Britton","47644","-"
