"movie_id","movie_name","year","certificate","runtime","rating","director","star","votes","gross(in $)"
"tt9114286","Black Panther: Wakanda Forever","2022","PG-13","161 min","6.9","Ryan Coogler","Letitia Wright#Lupita Nyong'o#Danai Gurira#Winston Duke","204965","-"
"tt1630029","Avatar: The Way of Water","2022","PG-13","192 min","7.8","James Cameron","Sam Worthington#Zoe Saldana#Sigourney Weaver#Stephen Lang","295177","-"
"tt6710474","Everything Everywhere All at Once","2022","R","139 min","8","Dan Kwan#Daniel Scheinert","Michelle Yeoh#Stephanie Hsu#Jamie Lee Curtis#Ke Huy Quan","327912","-"
"tt8760708","M3GAN","2022","PG-13","102 min","6.4","Gerard Johnstone","Allison Williams#Violet McGraw#Ronny Chieng#Amie Donald","62493","-"
"tt10954600","Ant-Man and the Wasp: Quantumania","2023","PG-13","125 min","6.6","Peyton Reed","Paul Rudd#Evangeline Lilly#Jonathan Majors#Kathryn Newton","5707","-"
"tt10365998","Infinity Pool","2023","R","117 min","6.5","Brandon Cronenberg","Alexander Skarsgård#Mia Goth#Cleopatra Coleman#Dunja Sepcic","7028","-"
"tt1825683","Black Panther","2018","PG-13","134 min","7.3","Ryan Coogler","Chadwick Boseman#Michael B. Jordan#Lupita Nyong'o#Danai Gurira","785830","700059566"
"tt0499549","Avatar","2009","PG-13","162 min","7.9","James Cameron","Sam Worthington#Zoe Saldana#Sigourney Weaver#Michelle Rodriguez","1322718","760507625"
"tt6718170","The Super Mario Bros. Movie","2023","PG","-","-","Aaron Horvath#Michael Jelenic","Chris Pratt#Anya Taylor-Joy#Charlie Day#Jack Black","-","-"
"tt13539646","The Wandering Earth II","2023","-","173 min","8","Frant Gwo","Andy Lau#Zina Blahusova#Jing Wu#Clara Lee","7083","-"
"tt6443346","Black Adam","2022","PG-13","125 min","6.4","Jaume Collet-Serra","Dwayne Johnson#Aldis Hodge#Pierce Brosnan#Noah Centineo","222948","-"
"tt0816692","Interstellar","2014","PG-13","169 min","8.6","Christopher Nolan","Matthew McConaughey#Anne Hathaway#Jessica Chastain#Mackenzie Foy","1859284","188020017"
"tt8041270","Jurassic World: Dominion","2022","PG-13","147 min","5.6","Colin Trevorrow","Chris Pratt#Bryce Dallas Howard#Laura Dern#Sam Neill","171789","-"
"tt1392170","The Hunger Games","2012","PG-13","142 min","7.2","Gary Ross","Jennifer Lawrence#Josh Hutcherson#Liam Hemsworth#Stanley Tucci","927509","408010692"
"tt1160419","Dune","2021","PG-13","155 min","8","Denis Villeneuve","Timothée Chalamet#Rebecca Ferguson#Zendaya#Oscar Isaac","649353","108327830"
"tt0439572","The Flash","2023","-","-","-","Andy Muschietti","Ben Affleck#Michael Shannon#Michael Keaton#Ezra Miller","-","-"
"tt10954984","Nope","2022","R","130 min","6.9","Jordan Peele","Daniel Kaluuya#Keke Palmer#Brandon Perea#Michael Wincott","200056","-"
"tt10648342","Thor: Love and Thunder","2022","PG-13","118 min","6.3","Taika Waititi","Chris Hemsworth#Natalie Portman#Christian Bale#Tessa Thompson","344340","-"
"tt1375666","Inception","2010","PG-13","148 min","8.8","Christopher Nolan","Leonardo DiCaprio#Joseph Gordon-Levitt#Elliot Page#Ken Watanabe","2373707","292576195"
"tt10872600","Spider-Man: No Way Home","2021","PG-13","148 min","8.2","Jon Watts","Tom Holland#Zendaya#Benedict Cumberbatch#Jacob Batalon","770509","804747988"
"tt4154796","Avengers: Endgame","2019","PG-13","181 min","8.4","Anthony Russo#Joe Russo","Robert Downey Jr.#Chris Evans#Mark Ruffalo#Chris Hemsworth","1148115","858373000"
"tt22769820","Legion of Super-Heroes","2023","PG-13","83 min","5.7","Jeff Wamester","Jensen Ackles#Matt Bomer#Darin De Paul#Ben Diskin","1206","-"
"tt12261776","65","2023","-","-","-","Scott Beck#Bryan Woods","Adam Driver#Ariana Greenblatt#Chloe Coleman#Nika King","-","-"
"tt10298840","Strange World","2022","PG","102 min","5.6","Don Hall#Qui Nguyen","Jake Gyllenhaal#Jaboukie Young-White#Gabrielle Union#Dennis Quaid","34588","-"
"tt1856101","Blade Runner 2049","2017","R","164 min","8","Denis Villeneuve","Harrison Ford#Ryan Gosling#Ana de Armas#Dave Bautista","586284","92054159"
"tt0133093","The Matrix","1999","R","136 min","8.7","Lana Wachowski#Lilly Wachowski","Keanu Reeves#Laurence Fishburne#Carrie-Anne Moss#Hugo Weaving","1928040","171479930"
"tt6791350","Guardians of the Galaxy Vol. 3","2023","-","-","-","James Gunn","Chris Pratt#Zoe Saldana#Dave Bautista#Vin Diesel","-","-"
"tt11286314","Don't Look Up","2021","R","138 min","7.2","Adam McKay","Leonardo DiCaprio#Jennifer Lawrence#Meryl Streep#Cate Blanchett","545331","-"
"tt5113044","Minions: The Rise of Gru","2022","PG","87 min","6.6","Kyle Balda#Brad Ableson#Jonathan del Val","Steve Carell#Pierre Coffin#Alan Arkin#Taraji P. Henson","68440","-"
"tt0116629","Independence Day","1996","PG-13","145 min","7","Roland Emmerich","Will Smith#Bill Pullman#Jeff Goldblum#Mary McDonnell","580887","306169255"
"tt0115624","Barb Wire","1996","R","98 min","3.5","David Hogan","Pamela Anderson#Amir AboulEla#Adriana Alexander#David Andriole","29766","3794000"
"tt20225374","Vesper","2022","Not Rated","114 min","5.9","Kristina Buozyte#Bruno Samper","Raffiella Chapman#Eddie Marsan#Rosy McEwen#Richard Brake","15369","-"
"tt6723592","Tenet","2020","PG-13","150 min","7.3","Christopher Nolan","John David Washington#Robert Pattinson#Elizabeth Debicki#Juhan Ulfsak","516838","58456624"
"tt6334354","The Suicide Squad","2021","R","132 min","7.2","James Gunn","Margot Robbie#Idris Elba#John Cena#Joel Kinnaman","359790","55817425"
"tt0088763","Back to the Future","1985","PG","116 min","8.5","Robert Zemeckis","Michael J. Fox#Christopher Lloyd#Lea Thompson#Crispin Glover","1217088","210609762"
"tt0482571","The Prestige","2006","PG-13","130 min","8.5","Christopher Nolan","Christian Bale#Hugh Jackman#Scarlett Johansson#Michael Caine","1344459","53089891"
"tt0107290","Jurassic Park","1993","PG-13","127 min","8.2","Steven Spielberg","Sam Neill#Laura Dern#Jeff Goldblum#Richard Attenborough","998365","402453882"
"tt0478970","Ant-Man","2015","PG-13","117 min","7.3","Peyton Reed","Paul Rudd#Michael Douglas#Corey Stoll#Evangeline Lilly","675528","180202163"
"tt0338013","Eternal Sunshine of the Spotless Mind","2004","R","108 min","8.3","Michel Gondry","Jim Carrey#Kate Winslet#Tom Wilkinson#Gerry Robert Byrne","1016964","34400301"
"tt1631867","Edge of Tomorrow","2014","PG-13","113 min","7.9","Doug Liman","Tom Cruise#Emily Blunt#Bill Paxton#Brendan Gleeson","687704","100206256"
"tt2194499","About Time","2013","R","123 min","7.8","Richard Curtis","Domhnall Gleeson#Rachel McAdams#Bill Nighy#Lydia Wilson","358045","15322921"
"tt15239678","Dune: Part Two","2023","-","-","-","Denis Villeneuve","Timothée Chalamet#Rebecca Ferguson#Zendaya#Javier Bardem","-","-"
"tt1951264","The Hunger Games: Catching Fire","2013","PG-13","146 min","7.5","Francis Lawrence","Jennifer Lawrence#Josh Hutcherson#Liam Hemsworth#Philip Seymour Hoffman","672304","424668047"
"tt6654210","Infinite","2021","PG-13","106 min","5.4","Antoine Fuqua","Mark Wahlberg#Chiwetel Ejiofor#Sophie Cookson#Dylan O'Brien","53336","-"
"tt9419884","Doctor Strange in the Multiverse of Madness","2022","PG-13","126 min","6.9","Sam Raimi","Benedict Cumberbatch#Elizabeth Olsen#Chiwetel Ejiofor#Benedict Wong","425241","-"
"tt9032400","Eternals","2021","PG-13","156 min","6.3","Chloé Zhao","Gemma Chan#Richard Madden#Angelina Jolie#Salma Hayek","348056","164870234"
"tt2015381","Guardians of the Galaxy","2014","PG-13","121 min","8","James Gunn","Chris Pratt#Vin Diesel#Bradley Cooper#Zoe Saldana","1189928","333176600"
"tt0078748","Alien","1979","R","117 min","8.5","Ridley Scott","Sigourney Weaver#Tom Skerritt#John Hurt#Veronica Cartwright","890423","78900000"
"tt11866324","Prey","2022","R","100 min","7.1","Dan Trachtenberg","Amber Midthunder#Dakota Beavers#Dane DiLiegro#Stormee Kipp","199019","-"
"tt1392190","Mad Max: Fury Road","2015","R","120 min","8.1","George Miller","Tom Hardy#Charlize Theron#Nicholas Hoult#Zoë Kravitz","1013611","154058340"
"tt6264654","Free Guy","2021","PG-13","115 min","7.1","Shawn Levy","Ryan Reynolds#Jodie Comer#Taika Waititi#Lil Rel Howery","377902","121626598"
