"movie_id","movie_name","year","certificate","runtime","rating","director","star","votes","gross(in $)"
"tt18079362","80 for Brady","2023","PG-13","98 min","6","Kyle Marvin","Rita Moreno#Jane Fonda#Sally Field#Lily Tomlin","1768","-"
"tt2353868","True Spirit","2023","UA 7+","109 min","6.8","Sarah Spillane","Alyla Browne#Teagan Croft#Cliff Curtis#Josh Lawson","3515","-"
"tt11145118","Creed III","2023","PG-13","116 min","-","Michael B. Jordan","Jonathan Majors#Michael B. Jordan#Tessa Thompson#Wood Harris","-","-"
"tt1950186","Ford v Ferrari","2019","UA","152 min","8.1","James Mangold","Matt Damon#Christian Bale#Jon Bernthal#Caitríona Balfe","403381","117624028"
"tt0075148","Rocky","1976","U","120 min","8.1","John G. Avildsen","Sylvester Stallone#Talia Shire#Burt Young#Carl Weathers","584389","117235247"
"tt0116483","Happy Gilmore","1996","PG-13","92 min","7","Dennis Dugan","Adam Sandler#Christopher McDonald#Julie Bowen#Frances Bay","230812","38624000"
"tt6436620","White Men Can't Jump","2023","R","-","-","Calmatic","Lance Reddick#Sinqua Walls#Andrew Schulz#Laura Harrier","-","-"
"tt0317219","Cars","2006","U","117 min","7.2","John Lasseter#Joe Ranft","Owen Wilson#Bonnie Hunt#Paul Newman#Larry the Cable Guy","429700","244082982"
"tt8009428","Hustle","2022","UA 16+","117 min","7.3","Jeremiah Zagar","Adam Sandler#Queen Latifah#Juancho Hernangomez#Ben Foster","125587","-"
"tt0076723","Slap Shot","1977","UA","123 min","7.3","George Roy Hill","Paul Newman#Michael Ontkean#Strother Martin#Jennifer Warren","38610","28000000"
"tt8745676","The Swimmers","2022","UA 16+","134 min","7.4","Sally El Hosaini","Matthias Schweighöfer#Ali Suliman#Manal Issa#Nathalie Issa","25083","-"
"tt0398165","The Longest Yard","2005","UA","113 min","6.4","Peter Segal","Adam Sandler#Burt Reynolds#Chris Rock#Nelly","183462","158119460"
"tt3076658","Creed","2015","UA","133 min","7.6","Ryan Coogler","Michael B. Jordan#Sylvester Stallone#Tessa Thompson#Phylicia Rashad","279120","109767581"
"tt1210166","Moneyball","2011","13","133 min","7.6","Bennett Miller","Brad Pitt#Robin Wright#Jonah Hill#Philip Seymour Hoffman","430536","75605492"
"tt0116695","Jerry Maguire","1996","U","139 min","7.3","Cameron Crowe","Tom Cruise#Cuba Gooding Jr.#Renée Zellweger#Kelly Preston","271539","153952592"
"tt12226632","Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World","2023","-","-","-","George Tillman Jr.","Forest Whitaker#Sonja Sohn#John Magaro#Matthew Glave","-","-"
"tt0454945","She's the Man","2006","U","105 min","6.3","Andy Fickman","Amanda Bynes#Laura Ramsey#Channing Tatum#Vinnie Jones","163005","2339735"
"tt1291584","Warrior","2011","UA","140 min","8.2","Gavin O'Connor","Tom Hardy#Nick Nolte#Joel Edgerton#Jennifer Morrison","476838","13657115"
"tt0087538","The Karate Kid","1984","U","126 min","7.3","John G. Avildsen","Ralph Macchio#Pat Morita#Elisabeth Shue#Martin Kove","229693","90815558"
"tt6343314","Creed II","2018","UA","130 min","7.1","Steven Caple Jr.","Michael B. Jordan#Sylvester Stallone#Tessa Thompson#Phylicia Rashad","129259","115715889"
"tt0415306","Talladega Nights: The Ballad of Ricky Bobby","2006","PG-13","108 min","6.6","Adam McKay","Will Ferrell#John C. Reilly#Sacha Baron Cohen#Gary Cole","188485","148213377"
"tt0878804","The Blind Side","2009","UA","129 min","7.6","John Lee Hancock","Quinton Aaron#Sandra Bullock#Tim McGraw#Jae Head","338059","255959475"
"tt0210945","Remember the Titans","2000","U","113 min","7.8","Boaz Yakin","Denzel Washington#Will Patton#Wood Harris#Ryan Hurst","219136","115654751"
"tt0097815","Major League","1989","U","107 min","7.2","David S. Ward","Tom Berenger#Charlie Sheen#Corbin Bernsen#Margaret Whitton","71428","49797148"
"tt0105812","White Men Can't Jump","1992","R","115 min","6.8","Ron Shelton","Wesley Snipes#Woody Harrelson#Rosie Perez#Tyra Ferrell","89163","76253806"
"tt0453562","42","2013","PG-13","128 min","7.5","Brian Helgeland","Chadwick Boseman#T.R. Knight#Harrison Ford#Nicole Beharie","97188","95001343"
"tt0364725","Dodgeball: A True Underdog Story","2004","UA","92 min","6.7","Rawson Marshall Thurber","Ben Stiller#Christine Taylor#Vince Vaughn#Rip Torn","254439","114326736"
"tt5580036","I, Tonya","2017","R","119 min","7.5","Craig Gillespie","Margot Robbie#Sebastian Stan#Allison Janney#Julianne Nicholson","222315","30014539"
"tt0104694","A League of Their Own","1992","U","128 min","7.3","Penny Marshall","Tom Hanks#Geena Davis#Lori Petty#Madonna","111660","107533928"
"tt4209788","Molly's Game","2017","R","140 min","7.4","Aaron Sorkin","Jessica Chastain#Idris Elba#Kevin Costner#Michael Cera","176226","28780744"
"tt1809398","Unbroken","2014","18","137 min","7.2","Angelina Jolie","Jack O'Connell#Miyavi#Domhnall Gleeson#Garrett Hedlund","171332","115637895"
"tt0120484","The Waterboy","1998","U","90 min","6.1","Frank Coraci","Adam Sandler#Kathy Bates#Henry Winkler#Fairuza Balk","168097","161491646"
"tt0089927","Rocky IV","1985","U","91 min","6.8","Sylvester Stallone","Sylvester Stallone#Talia Shire#Burt Young#Carl Weathers","209903","127873716"
"tt0393162","Coach Carter","2005","PG-13","136 min","7.3","Thomas Carter","Samuel L. Jackson#Rick Gonzalez#Robert Ri'chard#Rob Brown","154608","67264877"
"tt0479143","Rocky Balboa","2006","U","102 min","7.1","Sylvester Stallone","Sylvester Stallone#Antonio Tarver#Milo Ventimiglia#Burt Young","219718","70270943"
"tt15339570","Champions","2023","PG-13","123 min","-","Bobby Farrelly","Woody Harrelson#Ernie Hudson#Cheech Marin#Matt Cook","-","-"
"tt0116778","Kingpin","1996","UA","114 min","6.9","Bobby Farrelly#Peter Farrelly","Woody Harrelson#Randy Quaid#Bill Murray#Vanessa Angel","86359","24944213"
"tt0082158","Chariots of Fire","1981","U","125 min","7.1","Hugh Hudson","Ben Cross#Ian Charleson#Nicholas Farrell#Nigel Havers","62169","58972904"
"tt1979320","Rush","2013","R","123 min","8.1","Ron Howard","Daniel Brühl#Chris Hemsworth#Olivia Wilde#Alexandra Maria Lara","484813","26947624"
