"movie_id","movie_name","year","certificate","runtime","rating","director","star","votes","gross(in $)"
"tt1016150","All Quiet on the Western Front","2022","R","148 min","7.8","Edward Berger","Felix Kammerer#Albrecht Schuch#Aaron Hilmer#Moritz Klaus","139754","-"
"tt2584384","Jojo Rabbit","2019","PG-13","108 min","7.9","Taika Waititi","Roman Griffin Davis#Thomasin McKenzie#Scarlett Johansson#Taika Waititi","399264","33370906"
"tt7693316","Devotion","2022","PG-13","139 min","6.6","J.D. Dillard","Jonathan Majors#Glen Powell#Christina Jackson#Thomas Sadoski","15135","-"
"tt9737876","Narvik: Hitler's First Defeat","2022","TV-14","108 min","6.6","Erik Skjoldbjærg","Billy Campbell#Kristine Hartgen#Stig Henrik Hoff#Henrik Mestad","9051","-"
"tt3291150","The Expendables 4","2023","-","-","-","Scott Waugh","Jason Statham#50 Cent#Megan Fox#Dolph Lundgren","-","-"
"tt0361748","Inglourious Basterds","2009","R","153 min","8.3","Quentin Tarantino","Brad Pitt#Diane Kruger#Eli Roth#Mélanie Laurent","1464903","120540719"
"tt5013056","Dunkirk","2017","PG-13","106 min","7.8","Christopher Nolan","Fionn Whitehead#Barry Keoghan#Mark Rylance#Tom Hardy","669727","188373161"
"tt0078788","Apocalypse Now","1979","R","147 min","8.5","Francis Ford Coppola","Martin Sheen#Marlon Brando#Robert Duvall#Frederic Forrest","673330","83471511"
"tt1631867","Edge of Tomorrow","2014","PG-13","113 min","7.9","Doug Liman","Tom Cruise#Emily Blunt#Bill Paxton#Brendan Gleeson","687691","100206256"
"tt8579674","1917","2019","R","119 min","8.2","Sam Mendes","Dean-Charles Chapman#George MacKay#Daniel Mays#Colin Firth","603093","159227644"
"tt2119532","Hacksaw Ridge","2016","R","139 min","8.1","Mel Gibson","Andrew Garfield#Sam Worthington#Luke Bracey#Teresa Palmer","535776","67209615"
"tt10545296","The Hunger Games: The Ballad of Songbirds and Snakes","2023","-","-","-","Francis Lawrence","Viola Davis#Hunter Schafer#Peter Dinklage#Burn Gorman","-","-"
"tt0120815","Saving Private Ryan","1998","R","169 min","8.6","Steven Spielberg","Tom Hanks#Matt Damon#Tom Sizemore#Edward Burns","1402550","216540909"
"tt0765010","Brothers","2009","R","105 min","7.1","Jim Sheridan","Jake Gyllenhaal#Natalie Portman#Tobey Maguire#Sam Shepard","132357","28501651"
"tt8883486","Medieval","2022","R","125 min","5.9","Petr Jákl","Ben Foster#Sophie Lowe#Michael Caine#Til Schweiger","8759","-"
"tt0783233","Atonement","2007","R","123 min","7.8","Joe Wright","Keira Knightley#James McAvoy#Brenda Blethyn#Saoirse Ronan","283226","50927067"
"tt2713180","Fury","2014","R","134 min","7.5","David Ayer","Brad Pitt#Shia LaBeouf#Logan Lerman#Michael Peña","500926","85817906"
"tt0112573","Braveheart","1995","R","178 min","8.4","Mel Gibson","Mel Gibson#Sophie Marceau#Patrick McGoohan#Angus Macfadyen","1044563","75600000"
"tt0118799","Life Is Beautiful","1997","PG-13","116 min","8.6","Roberto Benigni","Roberto Benigni#Nicoletta Braschi#Giorgio Cantarini#Giustino Durano","701318","57598247"
"tt0253474","The Pianist","2002","R","150 min","8.5","Roman Polanski","Adrien Brody#Thomas Kretschmann#Frank Finlay#Emilia Fox","840756","32572577"
"tt1879016","Operation Mincemeat","2021","PG-13","128 min","6.6","John Madden","Colin Firth#Matthew Macfadyen#Kelly Macdonald#Rufus Wright","28324","-"
"tt0091251","Come and See","1985","Not Rated","142 min","8.4","Elem Klimov","Aleksey Kravchenko#Olga Mironova#Liubomiras Laucevicius#Vladas Bagdonas","82512","-"
"tt7984766","The King","2019","R","140 min","7.3","David Michôd","Tom Glynn-Carney#Gábor Czap#Tom Fisher#Edward Ashley","134316","-"
"tt2084970","The Imitation Game","2014","PG-13","114 min","8","Morten Tyldum","Benedict Cumberbatch#Keira Knightley#Matthew Goode#Allen Leech","778565","91125683"
"tt0034583","Casablanca","1942","PG","102 min","8.5","Michael Curtiz","Humphrey Bogart#Ingrid Bergman#Paul Henreid#Claude Rains","576217","1024560"
"tt0093058","Full Metal Jacket","1987","R","116 min","8.3","Stanley Kubrick","Matthew Modine#R. Lee Ermey#Vincent D'Onofrio#Adam Baldwin","748878","46357676"
"tt0451279","Wonder Woman","2017","PG-13","141 min","7.4","Patty Jenkins","Gal Gadot#Chris Pine#Robin Wright#Lucy Davis","665310","412563408"
"tt0320661","Kingdom of Heaven","2005","R","144 min","7.2","Ridley Scott","Orlando Bloom#Eva Green#Liam Neeson#Martin Hancock","293295","47398413"
"tt0942385","Tropic Thunder","2008","R","107 min","7.1","Ben Stiller","Ben Stiller#Jack Black#Robert Downey Jr.#Jeff Kahn","422817","110515313"
"tt0213847","Malena","2000","R","108 min","7.4","Giuseppe Tornatore","Monica Bellucci#Giuseppe Sulfaro#Luciano Federico#Matilde Piana","105042","3448233"
"tt0087985","Red Dawn","1984","PG-13","114 min","6.3","John Milius","Patrick Swayze#C. Thomas Howell#Lea Thompson#Charlie Sheen","59159","38376497"
"tt0020629","All Quiet on the Western Front","1930","Passed","152 min","8.1","Lewis Milestone","Lew Ayres#Louis Wolheim#John Wray#Arnold Lucy","64208","3270000"
"tt0265086","Black Hawk Down","2001","R","144 min","7.7","Ridley Scott","Josh Hartnett#Ewan McGregor#Tom Sizemore#Eric Bana","401720","108638745"
"tt0457430","Pan's Labyrinth","2006","R","118 min","8.2","Guillermo del Toro","Ivana Baquero#Ariadna Gil#Sergi López#Maribel Verdú","674357","37634615"
"tt0993840","Army of the Dead","2021","R","148 min","5.7","Zack Snyder","Dave Bautista#Ella Purnell#Ana de la Reguera#Omari Hardwick","175572","1000000"
"tt10521092","The Forgotten Battle","2020","TV-MA","124 min","7.1","Matthijs van Heijningen Jr.","Gijs Blom#Jamie Flatters#Susan Radder#Jan Bijvoet","32179","-"
"tt0031381","Gone with the Wind","1939","Passed","238 min","8.2","Victor Fleming#George Cukor#Sam Wood","Clark Gable#Vivien Leigh#Thomas Mitchell#Barbara O'Neil","318630","198676459"
"tt0213149","Pearl Harbor","2001","PG-13","183 min","6.2","Michael Bay","Ben Affleck#Kate Beckinsale#Josh Hartnett#William Lee Scott","337171","198542554"
"tt0077416","The Deer Hunter","1978","R","183 min","8.1","Michael Cimino","Robert De Niro#Christopher Walken#John Cazale#John Savage","342732","48979328"
"tt4172430","13 Hours","2016","R","144 min","7.3","Michael Bay","John Krasinski#Pablo Schreiber#James Badge Dale#David Denman","147124","52853219"
