movie_id,movie_name,director,star,genre
tt9218128,Gladiator 2,Ridley Scott,Paul Mescal#Spencer Treat Clark,action
tt11315808,Joker: Folie à Deux,Todd Phillips,Zazie Beetz#Brendan Gleeson#Joaquin Phoenix#Catherine Keener,action
tt20969586,Thunderbolts,Jake Schreier,Harrison Ford#Florence Pugh#Julia Louis-Dreyfus#Olga Kurylenko,action
tt6263850,Deadpool 3,Shawn Levy,Ryan Reynolds#Hugh Jackman#Emma Corrin#Leslie Uggams,action
tt14513804,Captain America: New World Order,Julius Onah,Harrison Ford#Tim Blake Nelson#Anthony Mackie#Danny Ramirez,action
tt1757678,Avatar 3,James Cameron,Michelle Yeoh#Zoe Saldana#Sam Worthington#Oona Chaplin,action
tt18259086,Sonic the Hedgehog 3,Jeff Fowler,Idris Elba#James Marsden#Ben Schwartz#Colleen O'Shaughnessey,action
tt1684562,The Fall Guy,David Leitch,Aaron Taylor-Johnson#Emily Blunt#Winston Duke#Ryan Gosling,action
tt10671440,Blade,Yann Demange,Mahershala Ali#Delroy Lindo#Aaron Pierre,action
tt11389872,Kingdom of the Planet of the Apes,Wes Ball,Dichen Lachman#Kevin Durand#Freya Allan#William H. Macy,action
tt1197627,National Treasure 3,Ray Gaspard,,action
tt12037194,Furiosa,George Miller,Anya Taylor-Joy#Tom Burke#Chris Hemsworth#Daniel Webber,action
tt14824600,The Lord of the Rings: The War of the Rohirrim,Kenji Kamiyama,Brian Cox#Miranda Otto#Bilal Hasna#Shaun Dooley,action
tt14539740,Godzilla and Kong,Adam Wingard,Brian Tyree Henry#Dan Stevens#Rebecca Hall#Alex Ferns,action
tt21692408,Kung Fu Panda 4,Angelina Jolie#Seth Rogen#Jackie Chan#James Hong,,action
tt12584954,Twisters,Lee Isaac Chung,,action
tt11057302,Madame Web,S.J. Clarkson,Sydney Sweeney#Emma Roberts#Dakota Johnson#Isabela Merced,action
tt8080204,Hypnotic,Robert Rodriguez,Ben Affleck#William Fichtner#Alice Braga#Jeff Fahey,action
tt22084616,Untitled Spider-Man Sequel,Tom Holland,,action
tt9603208,Mission: Impossible - Dead Reckoning - Part Two,Christopher McQuarrie,Nick Offerman#Tom Cruise#Rebecca Ferguson#Vanessa Kirby,action
tt13818368,Fighter,Siddharth Anand,Deepika Padukone#Hrithik Roshan#Anil Kapoor#Akshay Oberoi,action
tt11655566,Lilo & Stitch,Dean Fleischer Camp,Chris Sanders,action
tt0427340,Masters of the Universe,Aaron Nee#Adam Nee,Kyle Allen,action
tt5834410,The Tiger's Apprentice,Raman Hui#Yong Duk Jhun#Paul Watling,Michelle Yeoh#Henry Golding#Sandra Oh#Bowen Yang,action
tt16360004,Spider-Man: Beyond the Spider-Verse,Joaquim Dos Santos#Kemp Powers#Justin K. Thompson,Shameik Moore,action
tt22084516,Karate Kid,,,action
tt8429660,Muscle,F. Gary Gray,Vin Diesel#Olivia Day,action
tt22939186,Sand and Stones,Benjamin Brewer,Nicolas Cage#Jaeden Martell#Maxwell Jenkins#Sadie Soverall,action
tt19845348,El Muerto,Jonás Cuarón,Bad Bunny,action
tt18163814,Stockholm Bloodbath,Mikael Håfström,Sophie Cookson#Alba August#Emily Beecham#Claes Bang,action
tt5006214,Nicktoons,Jared Hess,Amy Poehler#Dee Bradley Baker#Mason Vale Cotton#Richard Steven Horvitz,action
tt11230960,Kaithi 2,Lokesh Kanagaraj,Karthi#Arjun Das#Harish Uthaman#Narain,action
tt11821912,NTR 30,Koratala Siva,N.T. Rama Rao Jr.#Janhvi Kapoor#Koushik Mahata,action
tt26009468,Tyrant,Park Hoon-jung,Seung-Won Cha#Kim Seon-Ho#Kang-woo Kim,action
tt20873898,BRBS,John Swab,,action
tt10826352,Orbital One,,,action
tt5880374,1000: The Sword in the Stone,Guido Maria Giordano,Kincso Nora Petho#Imola Gáspár#Carmine Iacono#Marco Lorenzo Valle,action
tt19892640,The Last Aztec Warrior,Anthony Islas,Frank Haraksin#John Marrs#Sean Dillingham#Fargo Arizona,action
tt15352048,Reloaded 2,George Tounas,Lili Rich#George Tounas#Joanna Kalafatis#Karel Curras,action
tt16653984,Secret Invasion Stop Motion,Mario Durán Araujo,Richard Croxford#James R. Baylis#Amelia Forsyth-Smith#Derek Good,action
tt1428450,Lady and a Gun,Thadd Turner,Thadd Turner#Wyatt Turner,action
tt15052572,Elephants,,,action
tt15816274,Secret of the Shroud,Damian Chapa,Damian Chapa#Luke O'Brien#Brian D. Anderson,action
tt23733594,Insurgency,Daniel McQuade,Daniel McQuade,action
tt9218128,Gladiator 2,Ridley Scott,Paul Mescal#Spencer Treat Clark,adventure
tt20969586,Thunderbolts,Jake Schreier,Harrison Ford#Florence Pugh#Julia Louis-Dreyfus#Olga Kurylenko,adventure
tt14513804,Captain America: New World Order,Julius Onah,Harrison Ford#Tim Blake Nelson#Anthony Mackie#Danny Ramirez,adventure
tt1757678,Avatar 3,James Cameron,Michelle Yeoh#Zoe Saldana#Sam Worthington#Oona Chaplin,adventure
tt18259086,Sonic the Hedgehog 3,Jeff Fowler,Idris Elba#James Marsden#Ben Schwartz#Colleen O'Shaughnessey,adventure
tt10671440,Blade,Yann Demange,Mahershala Ali#Delroy Lindo#Aaron Pierre,adventure
tt6208148,Snow White,Marc Webb,Gal Gadot#Rachel Zegler#Andrew Burnap#Luisa Guerreiro,adventure
tt1197627,National Treasure 3,Ray Gaspard,,adventure
tt12037194,Furiosa,George Miller,Anya Taylor-Joy#Tom Burke#Chris Hemsworth#Daniel Webber,adventure
tt14824600,The Lord of the Rings: The War of the Rohirrim,Kenji Kamiyama,Brian Cox#Miranda Otto#Bilal Hasna#Shaun Dooley,adventure
tt14539740,Godzilla and Kong,Adam Wingard,Brian Tyree Henry#Dan Stevens#Rebecca Hall#Alex Ferns,adventure
tt21692408,Kung Fu Panda 4,Angelina Jolie#Seth Rogen#Jackie Chan#James Hong,,adventure
tt13186482,Mufasa: The Lion King,Barry Jenkins,Seth Rogen#Billy Eichner#Kelvin Harrison Jr.#Aaron Pierre,adventure
tt12584954,Twisters,Lee Isaac Chung,,adventure
tt5779228,Garfield,Mark Dindal,Nicholas Hoult#Hannah Waddingham#Chris Pratt#Cecily Strong,adventure
tt12299608,Mickey 17,Bong Joon Ho,Robert Pattinson#Toni Collette#Naomi Ackie#Mark Ruffalo,adventure
tt11057302,Madame Web,S.J. Clarkson,Sydney Sweeney#Emma Roberts#Dakota Johnson#Isabela Merced,adventure
tt22084616,Untitled Spider-Man Sequel,Tom Holland,,adventure
tt22022452,Inside Out 2,Kelsey Mann,Diane Lane#Amy Poehler#Phyllis Smith#Lewis Black,adventure
tt9603208,Mission: Impossible - Dead Reckoning - Part Two,Christopher McQuarrie,Nick Offerman#Tom Cruise#Rebecca Ferguson#Vanessa Kirby,adventure
tt11655566,Lilo & Stitch,Dean Fleischer Camp,Chris Sanders,adventure
tt0427340,Masters of the Universe,Aaron Nee#Adam Nee,Kyle Allen,adventure
tt5834410,The Tiger's Apprentice,Raman Hui#Yong Duk Jhun#Paul Watling,Michelle Yeoh#Henry Golding#Sandra Oh#Bowen Yang,adventure
tt16360004,Spider-Man: Beyond the Spider-Verse,Joaquim Dos Santos#Kemp Powers#Justin K. Thompson,Shameik Moore,adventure
tt4900148,Elio,Adrian Molina,America Ferrera#Yonas Kibreab,adventure
tt7510222,Despicable Me 4,Chris Renaud#Patrick Delage,Steve Carell#Kristen Wiig#Miranda Cosgrove#Steve Coogan,adventure
tt9613354,The Hunchback of Notre Dame,,,adventure
tt19845348,El Muerto,Jonás Cuarón,Bad Bunny,adventure
tt9664112,Detective Pikachu 2,,,adventure
tt5006214,Nicktoons,Jared Hess,Amy Poehler#Dee Bradley Baker#Mason Vale Cotton#Richard Steven Horvitz,adventure
tt1167480,Flanimals,,,adventure
tt5821450,Hump,Peter Dodd#Amin Matalqa,Simon Pegg#Gaten Matarazzo#Ramy Youssef,adventure
tt26446278,Le Comte de Monte-Cristo,Alexandre de La Patellière#Matthieu Delaporte,Pierre Niney,adventure
tt12867298,The Witches of the Sands,Tony Mardon,Tony Mardon#Debra Lamb#Linnea Quigley#Dawna Lee Heising,adventure
tt10826352,Orbital One,,,adventure
tt5880374,1000: The Sword in the Stone,Guido Maria Giordano,Kincso Nora Petho#Imola Gáspár#Carmine Iacono#Marco Lorenzo Valle,adventure
tt26469339,The Zone Action: The Movie,Dan Petronijevic#Rachel Wilson#Sarah Podemski#Scott McCord,,adventure
tt23040026,The Charlotte in Multilink World Movie,Kelvin Kibuuka,Charlotte Mills#Emily Hamilton#Brooke Passingham#Maria Burdett-Clark,adventure
tt24218194,Volshebnik Izumrudnogo goroda,Igor Voloshin,,adventure
tt23752846,Artek. Bolshoe puteshestvie. 1812,Karen Zaharov,Mikhail Galustyan#Aleksey Onezhen#Lyudmila Artemeva#Liza Moryak,adventure
tt20854202,Requiem of Dreams,John-Paul Casella,Sophia Casella#Lev Kozlovsky#Gianna Ray#Kameron Ray,adventure
tt14824600,The Lord of the Rings: The War of the Rohirrim,Kenji Kamiyama,Brian Cox#Miranda Otto#Shaun Dooley#Luke Pasqualino,animation
tt18259086,Sonic the Hedgehog 3,Jeff Fowler,Idris Elba#James Marsden#Ben Schwartz#Colleen O'Shaughnessey,animation
tt13186482,Mufasa: The Lion King,Barry Jenkins,Seth Rogen#Billy Eichner#Kelvin Harrison Jr.#Aaron Pierre,animation
tt21692408,Kung Fu Panda 4,James Hong#Angelina Jolie#Jack Black#Lucy Liu,,animation
tt5779228,Garfield,Mark Dindal,Hannah Waddingham#Chris Pratt#Brett Goldstein#Nicholas Hoult,animation
tt4900148,Elio,Adrian Molina,America Ferrera#Yonas Kibreab,animation
tt22022452,Inside Out 2,Kelsey Mann,Diane Lane#Amy Poehler#Phyllis Smith#Lewis Black,animation
tt5834410,The Tiger's Apprentice,Raman Hui#Yong Duk Jhun#Paul Watling,Michelle Yeoh#Henry Golding#Sandra Oh#Leah Lewis,animation
tt0427340,Masters of the Universe,Aaron Nee#Adam Nee,Kyle Allen,animation
tt16360004,Spider-Man: Beyond the Spider-Verse,Joaquim Dos Santos#Kemp Powers#Justin K. Thompson,Shameik Moore,animation
tt7510222,Despicable Me 4,Chris Renaud#Patrick Delage,Steve Carell#Kristen Wiig#Miranda Cosgrove#Steve Coogan,animation
tt1117392,The Ark and the Aardvark,John Stevenson,Aubrey Plaza#Jenny Slate#Miles Teller#Stephen Merchant,animation
tt5006214,Nicktoons,Jared Hess,Amy Poehler#Dee Bradley Baker#Richard Steven Horvitz#Mason Cotton,animation
tt1167480,Flanimals,,,animation
tt5821450,Hump,Peter Dodd#Amin Matalqa,Simon Pegg#Gaten Matarazzo#Ramy Youssef,animation
tt11846550,Kayara,Cesar Zelada,,animation
tt26469339,The Zone Action: The Movie,Sarah Podemski#Dan Petronijevic#Rachel Wilson#Scott McCord,,animation
tt13036100,Broken Glass,Neil Mikes#Hazel K.,Gwyneth Irene#Garry Naville#Asa Obed#Chronox,animation
tt25786022,Rafadan Tayfa 4,Ismail Fidan,,animation
